shipped_date,sku,channel,qty,revenue,COGS,MOQ_orders
2021-01-01,089A0E,ADS,190,5027.4,2926.0,56460
2021-01-01,089A0E,AWH,30,793.8,154.0,56460
2021-01-01,0FKFLA,AWH,780,32028.36,13104.0,427545
2021-01-01,0G8Z4M,AWH,85,1307.81,595.0,2516
2021-01-01,0NFJ14,FBM,38,2127.47,1723.25,18734
2021-01-01,0NFJ14,ADS,19,1063.73,744.53,18734
2021-01-01,11HSH1,FBM,150,7137.9,6209.97,96300
2021-01-01,13KMDL,AWH,444,31048.92,8018.64,158136
2021-01-01,17KYMH,ADS,690,40089.0,23667.0,203895
2021-01-01,17KYMH,AWH,138,8017.8,2366.7,203895
2021-01-01,17KYMH,ADI,69,4008.9,,203895
2021-01-01,17KYMH,LAL,69,2028.6,1744.6,203895
2021-01-01,1DJZWY,FBA,19,837.63,678.48,8892
2021-01-01,1GURWB,AWH,34,689.72,238.0,5525
2021-01-01,1JKADT,AWH,260,45234.84,33627.72,978040
2021-01-01,1JKADT,ADI,98,1507.83,,978040
2021-01-01,1K0V6M,ADS,76,9680.27,2766.4,9766
2021-01-01,1PGPPM,ADS,36,4031.5,2520.0,3330
2021-01-01,1TVFJ2,FBM,33,854.24,691.93,12705
2021-01-01,1W31XM,ADS,119,12493.33,7497.0,36261
2021-01-01,1W31XM,ADI,17,1784.76,,36261
2021-01-01,1W31XM,FBA,17,1784.76,1445.66,36261
2021-01-01,1WTQ7A,AWH,270,4532.22,3591.0,40995
2021-01-01,1XS4TA,AWH,492,7232.4,4683.84,74374
2021-01-01,2F4S8M,ADS,114,23459.6,5905.2,41211
2021-01-01,2HF54F,ADS,1260,58194.36,20109.6,285516
2021-01-01,2HF54F,AWH,168,7759.25,1441.78,285516
2021-01-01,2HF54F,ADI,84,3879.62,1441.78,285516
2021-01-01,2RQ6PS,FBM,19,1063.73,861.62,13794
2021-01-01,31TH8X,AWH,98,3428.63,1595.64,1470
2021-01-01,33KM7A,AWH,276,11201.74,7341.6,206856
2021-01-01,33KM7A,ADI,108,4383.29,1964.09,206856
2021-01-01,38KCVM,ADS,46,3090.56,1610.0,8073
2021-01-01,38KCVM,AWH,23,1545.28,,8073
2021-01-01,3B92VR,ADS,38,5378.52,3298.4,21603
2021-01-01,3JT08X,AWH,392,9872.91,6530.72,233730
2021-01-01,3RQKGC,ADS,208,17469.09,8736.0,45936
2021-01-01,3RQKGC,ADI,16,1343.78,586.21,45936
2021-01-01,3RQKGC,FBA,16,1343.78,1088.46,45936
2021-01-01,3XJ3LD,AWH,85,6841.31,5140.8,25364
2021-01-01,3XSG8S,AWH,32,671.55,268.8,37696
2021-01-01,413SNL,AWH,74,2070.96,1346.8,23976
2021-01-01,42MZVU,ADS,187,9291.28,6466.46,24514
2021-01-01,44SQ3H,AWH,204,10421.54,7254.24,158168
2021-01-01,47KY2J,ADS,140,8741.6,5125.4,66360
2021-01-01,48CE59,AWH,1690,95681.04,16562.0,370344
2021-01-01,48GABP,FBM,10,118.86,96.28,80
2021-01-01,4HSDFL,AWH,495,11774.07,8801.1,187560
2021-01-01,4HYCQW,AWH,297,24532.2,7692.3,81840
2021-01-01,4JG1BP,FBM,30,335.58,271.82,31920
2021-01-01,4OCITK,AWH,260,58280.99,34025.6,908610
2021-01-01,4WBTEM,ADS,621,21726.31,15649.2,35926
2021-01-01,4WBTEM,ADI,161,5632.75,579.6,35926
2021-01-01,4WBTEM,AWH,161,5632.75,579.6,35926
